id,category,severity,anomaly_score,detection_method,ai_explanation,transaction_amount,customer_id,merchant,location,timestamp,risk_flags
ANM-000001,"Unusual Transaction Pattern",high,0.923,"Isolation Forest","Transaction amount exceeds historical average by 5x standard deviations",15234.50,CUST-4521,MerchantXYZ,"New York, NY",2024-01-14T10:30:00Z,velocity_check
ANM-000002,"Duplicate Transaction",high,0.891,"DBSCAN","Multiple identical transactions detected within 2-minute window",3500.00,CUST-8934,OnlineStore123,"Chicago, IL",2024-01-14T11:15:00Z,duplicate_flag
ANM-000003,"Account Takeover Risk",high,0.856,"Ensemble Method","Login from new device with unusual spending pattern",8750.25,CUST-2341,LuxuryGoods,"Miami, FL",2024-01-14T09:45:00Z,new_device
ANM-000004,"Velocity Anomaly",high,0.834,"Statistical Z-Score","Transaction frequency 4x higher than normal baseline",425.00,CUST-6789,GasStation44,"Houston, TX",2024-01-14T08:20:00Z,high_frequency
ANM-000005,"Geographic Anomaly",high,0.812,"One-Class SVM","Transaction location 2000+ miles from previous transaction in 1 hour",1250.00,CUST-3456,AirportShop,"Los Angeles, CA",2024-01-14T12:00:00Z,impossible_travel
ANM-000006,"Merchant Risk",medium,0.756,"Local Outlier Factor","First transaction with high-risk merchant category",975.50,CUST-9012,CryptoExchange,"Phoenix, AZ",2024-01-14T13:30:00Z,risky_mcc
ANM-000007,"Amount Spike",medium,0.723,"Isolation Forest","Single transaction 3x larger than account limit",5600.00,CUST-5678,ElectronicsHub,"Seattle, WA",2024-01-14T14:15:00Z,overlimit
ANM-000008,"Time Anomaly",medium,0.689,"Time Series Decomposition","Transaction at unusual hour for this account",280.75,CUST-1234,24HrStore,"Denver, CO",2024-01-14T03:45:00Z,odd_hour
ANM-000009,"Behavioral Change",medium,0.654,"Autoencoder","Spending pattern deviates from established profile",1875.00,CUST-7890,SportingGoods,"Boston, MA",2024-01-14T15:00:00Z,profile_change
ANM-000010,"Network Anomaly",high,0.945,"Graph Neural Network","Connected to multiple flagged entities in transaction network",12500.00,CUST-4312,WireTransfer,"San Francisco, CA",2024-01-14T16:30:00Z,network_risk
ANM-000011,"ML Model Drift",medium,0.701,"Ensemble Detector","Transaction features outside training distribution",3200.00,CUST-8765,OnlineMarket,"Portland, OR",2024-01-14T17:00:00Z,model_drift
ANM-000012,"Card Not Present",high,0.878,"Random Forest","High-value CNP transaction from new IP address",6789.00,CUST-2109,LuxuryRetail,"Las Vegas, NV",2024-01-14T18:15:00Z,cnp_high_risk
ANM-000013,"Weekend Spike",medium,0.632,"Statistical Analysis","Unusual weekend activity for business account",4500.00,CUST-6543,B2BSupplier,"Dallas, TX",2024-01-14T19:45:00Z,weekend_anomaly
ANM-000014,"Currency Mismatch",high,0.823,"Rule Engine","Foreign currency transaction in restricted country",8900.00,CUST-3210,IntlExchange,"Atlanta, GA",2024-01-14T20:00:00Z,currency_flag
ANM-000015,"Refund Abuse",high,0.867,"Pattern Recognition","Multiple refunds following large purchases",2340.00,CUST-7654,RetailChain,"Minneapolis, MN",2024-01-14T21:30:00Z,refund_pattern
ANM-000016,"Device Fingerprint",medium,0.712,"Device Intelligence","Transaction from spoofed device fingerprint",1567.00,CUST-9876,OnlineGaming,"Salt Lake City, UT",2024-01-14T22:00:00Z,device_spoof
ANM-000017,"Seasonal Outlier",low,0.543,"Time Series Analysis","Purchase outside typical seasonal pattern",890.00,CUST-5432,GardenCenter,"Phoenix, AZ",2024-01-14T23:15:00Z,seasonal_anomaly
ANM-000018,"Identity Mismatch",high,0.934,"Identity Verification","Billing address doesn't match account records",7650.00,CUST-1098,ElectronicsDepot,"San Diego, CA",2024-01-15T00:30:00Z,identity_mismatch
ANM-000019,"Threshold Breach",medium,0.678,"Rule-Based","Daily spending limit exceeded",3450.00,CUST-6789,DepartmentStore,"Charlotte, NC",2024-01-15T01:45:00Z,limit_exceeded
ANM-000020,"Suspicious Timing",high,0.845,"Temporal Analysis","Transaction during system maintenance window",5670.00,CUST-3456,OnlineBanking,"Nashville, TN",2024-01-15T02:00:00Z,maintenance_window
ANM-000021,"Cross-Border Risk",medium,0.756,"Geolocation Analysis","First international transaction for domestic account",2345.00,CUST-7890,IntlMerchant,"Detroit, MI",2024-01-15T03:30:00Z,first_intl
